skill_name,skill_group
Customer-Focused Service,Sales
Inspiration,Other
Merchandising,Sales
Visual Direction,Graphic Design/Visual
Visual Merchandising,Graphic Design/Visual
Wardrobe,Other
Window,Other
Window Displays,Other
Appointment Scheduling,Other
Correspondences,Other
Calendaring,Other
Courts,Other
Depositions,Other
Federal Courts,Other
Legal Assistance,Other
Legal Document Preparation,Other
Record Maintenance,Other
Travel Arrangements,Strategy/Planning/Management
Database Administration,Technology
Laptops,Other
Computer Competency,Quantitative/Analytics
Human Resources (HR),Communication
Interviewing,Communication
Onboarding,Communication
Recruiting,Other
Sourcing,Other
Talent Management,Strategy/Planning/Management
Tracking Systems,Technology
Quote,Content/Writing
Internet Access,Other
Spelling,Content/Writing
Front Office Operations,Strategy/Planning/Management
Office Operations,Strategy/Planning/Management
Team Motivation,Communication
U.S. Health Insurance Portability and Accountability Act (HIâ€¦,Other
Key Accounts,Other
Portals,Technology
Advertising Operations,Strategy/Planning/Management
Digital Campaigns,Graphic Design/Visual
From Conception to Completion,Strategy/Planning/Management
Mobile Messaging,Communication
Spanish,Communication
Dermatology,Other
Functionality,Other
Receptionist Duties,Communication
Typing,Other
Data Reporting,Quantitative/Analytics
Lists,Other
SMS,Communication
Employee Engagement,Strategy/Planning/Management
Personnel Files,Other
Service Orientation (Social),Communication
Annual Giving,Other
Capital Campaign Management,Strategy/Planning/Management
Keyboards,Other
Major Gift Development,Other
Nonprofit Organizations,Other
Planned Giving,Communication
Stewardship,Other
Customer Service Management,Sales
Purchase Orders,Other
Customer Interaction,Sales
Product Presentation,Communication
Brand Communication,Brand
Concept Art,Graphic Design/Visual
Geographic Information Systems (GIS),Quantitative/Analytics
Land Acquisition,Other
Real Estate,Other
Residential Construction,Other
Self-Management,Other
Corporate Social Media,Social Media/Digital
Lifecycle Services (LCS),Other
Code of Conduct,Other
Employee Relations,Communication
HR Management,Strategy/Planning/Management
HR Policies,Other
Meeting Commitments,Other
Policies & Procedures,Other
Position Papers,Content/Writing
Public Administration,Communication
Resource Management,Strategy/Planning/Management
Artist Management,Strategy/Planning/Management
Constructive Feedback,Communication
Digital Strategy,Graphic Design/Visual
Contract Documentation,Other
Creative Services,Other
Microsoft Word,Other
Thinking Skills,Strategy/Planning/Management
Cameras,Graphic Design/Visual
Digital Cameras,Graphic Design/Visual
Digital Photography,Graphic Design/Visual
Event Photography,Graphic Design/Visual
Lighting,Graphic Design/Visual
Strategic Initiatives,Strategy/Planning/Management
Visual Communication,Graphic Design/Visual
Internal and External Communications,Communication
Case Studies,Quantitative/Analytics
Engaging Content/Writing,Content/Writing
New Concepts,Other
Strategy Consulting,Strategy/Planning/Management
Community Management,Strategy/Planning/Management
Media Strategy,Social Media/Digital
Media Trends,Social Media/Digital
Social Media Analytics,Quantitative/Analytics
Social Media Strategy,Strategy/Planning/Management
Biography,Content/Writing
Allocations,Other
Budget Management,Strategy/Planning/Management
Conference Presentations,Communication
Digital Asset Management,Graphic Design/Visual
Web Content/Writing,Content/Writing
Performance Reviews,Other
Brand Loyalty,Brand
Sales Campaigns,Strategy/Planning/Management
Confidant,Other
Distillation,Other
Editorial Calendars,Other
Budgeting & Forecasting,Strategy/Planning/Management
Campaign Execution,Strategy/Planning/Management
Catering Sales,Sales
Driving Results,Other
Vendor Relations,Other
Design Programs,Strategy/Planning/Management
Sedona,Other
Content/Writing Scheduling,Content/Writing
Target Audience,Other
Apparel,Other
Concourse CI,Other
Corporate Gifts,Other
Engagement Marketing,Sales
D2C,Other
Brand Marketing,Brand
Solution-oriented,Quantitative/Analytics
Business Reviews,Quantitative/Analytics
Marketing Activation,Strategy/Planning/Management
Sell Sheets,Other
Dolls,Other
Editorial,Content/Writing
Fashion,Graphic Design/Visual
Fashion Consulting,Graphic Design/Visual
Fashion Styling,Graphic Design/Visual
Look Books,Graphic Design/Visual
Stylists,Graphic Design/Visual
Geotechnical Engineering,Other
Brand Activation,Brand
Community Building,Communication
Grassroots Marketing,Strategy/Planning/Management
Grassroots Organizing,Strategy/Planning/Management
Personal Responsibility,Other
Seeding,Strategy/Planning/Management
Financial Reporting,Quantitative/Analytics
Google Workspace,Other
Manufacturing Processes,Other
Performance Reporting,Quantitative/Analytics
Pre-production,Other
Quantitative Analytics,Quantitative/Analytics
Retail Math,Quantitative/Analytics
Sample Development,Strategy/Planning/Management
Arena Simulation Software,Quantitative/Analytics
Counseling,Communication
Microsoft SQL Server,Quantitative/Analytics
Return to Work Programs,Other
Service Levels,Other
Service-Level Agreements (SLA),Other
Audio Recording,Graphic Design/Visual
Camtasia,Graphic Design/Visual
Editing Software,Graphic Design/Visual
Tutorials,Other
Sales Promotion,Sales
Accounting,Other
Budgeting,Strategy/Planning/Management
Build Strong Relationships,Communication
Building Performance,Other
Concept Development,Strategy/Planning/Management
Client Liaison,Sales
Recognition Programs,Other
Training Management,Strategy/Planning/Management
Anti-Money Laundering,Other
Evasion,Other
KYC Verification,Other
Client Accounts,Sales
Market Share,Market Research
Partner Relationship Management,Sales
Business Management,Strategy/Planning/Management
Business Process Improvement,Strategy/Planning/Management
Management Consulting,Strategy/Planning/Management
Communications Strategy,Communication
Troubleshooting,Other
Trusting Relationships,Communication
Travel Management,Strategy/Planning/Management
Travel Planning,Strategy/Planning/Management
Advertising Campaigns,Strategy/Planning/Management
Event Production,Strategy/Planning/Management
Vendor Management,Strategy/Planning/Management
Audio Conferencing,Graphic Design/Visual
Outdoor Advertising,Sales
Negotiations,Sales
Mobile App Development,Technology
Data Visualization,Graphic Design/Visual
